端口id,端口带宽
0,70000
1,80000
2,140000
3,100000
4,150000
5,100000
6,60000
7,120000
8,140000
9,120000
10,140000
11,150000
12,60000
13,110000
14,50000
15,110000
16,70000
17,80000
18,120000
19,140000
20,90000
21,80000
22,70000
23,140000
24,80000
25,120000
26,130000
27,80000
28,110000
29,70000
30,110000
31,70000
32,70000
33,60000
34,150000
35,100000
36,60000
37,140000
38,50000
39,140000
40,80000
41,80000
42,120000
43,50000
44,140000
45,150000
46,70000
47,50000
48,90000
49,60000
50,70000
51,80000
52,130000
53,70000
54,100000
55,70000
56,130000
57,80000
58,50000
