流id,流带宽,进入设备时间,发送流所需时间
0,2433,99,166
1,6443,40,539
2,8145,43,299
3,9376,55,981
4,9201,42,911
5,5071,76,624
6,6301,57,391
7,7336,8,442
8,8260,9,289
9,7980,81,753
10,6343,89,73
11,1377,59,498
12,5471,10,598
13,9412,19,689
14,7867,44,571
15,3041,51,249
16,8942,41,258
17,1007,73,299
18,3003,16,453
19,2151,10,966
20,2395,15,397
21,7481,17,604
22,9552,31,161
23,4073,9,554
24,5700,44,232
25,1072,11,438
26,8146,93,156
27,6725,23,994
28,5988,13,995
29,4540,81,727
30,1682,10,659
31,6233,18,218
32,8156,26,701
33,6280,42,265
34,4309,30,627
35,2839,37,235
36,4778,12,684
37,1001,75,819
38,5147,44,413
39,6844,70,486
40,3258,65,831
41,5028,79,840
42,2000,70,465
43,7464,19,785
44,1131,41,169
45,1733,7,383
46,1873,29,634
47,6603,66,826
48,7229,20,145
49,1908,58,571
50,1171,93,210
51,6318,11,74
52,6513,86,871
53,3868,46,396
54,8296,9,934
55,5856,86,940
56,1609,9,897
57,3407,35,534
58,7778,50,124
59,4338,40,151
60,9697,28,318
61,8084,69,72
62,6861,92,675
63,6341,28,488
64,1701,36,249
65,1228,52,512
66,1607,28,939
67,1091,58,459
68,9756,8,18
69,4209,83,94
70,7850,40,863
71,5956,45,828
72,4037,32,696
73,4025,43,278
74,6717,69,63
75,6970,75,89
76,7928,29,971
77,4770,88,258
78,3151,44,378
79,5463,47,163
80,3247,94,577
81,6542,13,288
82,3069,4,587
83,6958,30,45
84,6334,77,966
85,4873,72,904
86,1661,52,443
87,9607,98,939
88,1720,79,545
89,5769,85,152
90,9091,69,311
91,4159,3,151
92,2267,69,51
93,1325,29,588
94,5323,53,970
95,8552,50,489
96,6966,13,347
97,9649,55,64
98,1495,1,781
99,5381,19,214
100,7337,66,791
101,6401,30,24
102,1259,90,148
103,5185,3,82
104,9093,100,253
105,5589,70,923
106,8575,3,509
107,6624,95,649
108,1717,91,395
109,1317,95,99
110,1388,51,364
111,4054,17,226
112,6204,43,186
113,7588,35,185
114,6137,63,826
115,4159,94,605
116,7176,95,929
117,1097,40,695
118,3519,100,135
119,3255,61,215
120,5527,15,184
121,5245,2,949
122,6763,53,668
123,4372,19,20
124,7056,13,571
125,5407,23,360
126,2468,86,222
127,9561,74,85
128,3005,80,185
129,1774,28,537
130,2470,7,623
131,3100,19,162
132,3031,9,854
133,3536,62,402
134,7573,39,294
135,1106,81,122
136,4153,38,381
137,1439,18,158
138,8156,96,297
139,7602,88,576
140,4433,25,105
141,6564,81,138
142,2928,30,697
143,2871,61,473
144,4235,33,956
145,9367,28,758
146,1624,34,94
147,2154,42,660
148,3208,41,976
149,5397,98,17
150,5167,41,539
151,6792,57,849
152,6919,52,942
153,2258,82,109
154,4749,96,77
155,5912,60,261
156,6042,89,525
157,7194,36,766
158,5585,76,960
159,7200,7,92
160,1803,84,846
161,1244,31,841
162,9763,93,98
163,5625,54,913
164,4127,81,92
165,7366,71,467
166,5880,4,331
167,6896,74,75
168,8570,56,920
169,5775,31,736
170,3783,91,924
171,1599,7,160
172,7021,97,965
173,5353,43,358
174,1235,28,22
175,6779,51,151
176,8710,96,760
177,6605,61,873
178,8745,29,22
179,7231,43,216
180,5142,42,132
181,2116,93,103
182,3716,86,728
183,2809,85,783
184,8247,3,300
185,4946,67,183
186,1502,83,576
187,4164,98,177
188,7439,35,66
189,9342,46,630
190,9777,0,720
191,7599,48,423
192,5807,9,223
193,9873,59,563
194,2574,30,533
195,9083,46,945
196,9993,26,827
197,1132,17,676
198,4853,50,372
199,1563,25,628
200,1929,15,526
201,3365,42,8
202,3741,93,277
203,2455,44,96
204,4041,98,112
205,3386,6,655
206,1358,40,534
207,7706,53,531
208,4851,42,589
209,8903,85,991
210,5220,70,635
211,2821,31,227
212,7466,2,84
213,6157,75,401
214,7166,51,83
215,2731,76,914
216,8793,52,89
217,6780,72,555
218,8680,93,670
219,9495,29,554
220,5080,29,545
221,6531,55,688
222,3037,60,117
223,9715,29,476
224,6091,42,638
225,2582,74,277
226,5375,51,186
227,1515,1,380
228,9540,78,650
229,1864,54,701
230,6051,86,73
231,5178,57,959
232,3204,30,744
233,2153,11,623
234,7592,63,710
235,2995,58,184
236,9829,13,184
237,8089,84,142
238,1232,41,40
239,8411,36,143
240,6883,67,788
241,4037,99,643
242,2506,52,653
243,5341,11,283
244,2515,0,560
245,3218,81,38
246,7406,30,767
247,1813,67,467
248,4763,74,566
249,3176,56,675
250,2210,26,23
251,2954,65,279
252,3572,61,586
253,9234,0,195
254,8011,60,81
255,4646,99,676
256,2189,29,458
257,1235,44,695
258,4375,56,471
259,3945,24,512
260,4994,32,425
261,6387,60,661
262,3922,92,633
263,9413,64,35
264,3835,71,237
265,6259,89,365
266,9399,46,197
267,2027,66,168
268,4496,71,24
269,3445,4,683
270,3913,8,819
271,1254,49,74
272,5421,34,51
273,6191,15,954
274,9794,25,724
275,7654,14,82
276,2402,91,257
277,1946,63,895
278,7907,56,555
279,2912,30,920
280,7295,55,802
281,4422,63,588
282,9756,2,227
283,1805,11,648
284,6069,12,549
285,5177,2,87
286,8165,96,314
287,7248,29,704
288,5334,60,475
289,6569,92,363
290,7981,3,501
291,4844,1,279
292,9353,85,217
293,1013,15,892
294,4499,6,566
295,1310,7,848
296,1888,0,254
297,7675,50,545
298,1659,31,179
299,1806,81,664
300,5236,18,509
301,4693,69,821
302,2810,2,1000
303,7428,55,132
304,9243,85,732
305,2654,50,887
306,7012,57,423
307,2841,28,799
308,2320,99,142
309,4852,74,764
310,8261,6,230
311,8180,40,10
312,6451,11,757
313,2215,100,945
314,8486,51,569
315,5527,47,133
316,7801,81,299
317,4345,73,517
318,6851,45,369
319,3281,53,798
320,6382,18,602
321,3958,59,422
322,9410,22,84
323,5133,47,488
324,6466,22,593
325,5847,5,716
326,9933,5,230
327,3202,64,646
