97,0,0
101,1,0
258,2,0
273,3,0
412,4,0
445,5,0
602,6,0
815,7,0
1001,8,0
1041,9,0
1274,10,0
1345,0,126
1364,3,134
1616,6,233
2036,8,233
2172,7,296
2269,9,310
2276,4,329
2278,4,391
2410,6,393
2926,1,533
3039,10,534
3209,8,640
3227,2,715
3237,5,736
3284,9,844
3323,5,853
3621,0,889
3841,0,925
3996,1,951
4060,2,970
4324,3,997
4374,6,1013
4380,7,1040
4459,10,1219
4526,1,1231
4647,4,1262
4758,9,1262
5149,7,1356
5157,8,1469
5516,3,1495
5588,4,1626
5603,0,1711
5636,5,1734
5716,2,1751
5752,6,1793
5758,2,1825
5767,3,1831
5809,7,1913
5865,3,1975
5971,9,2017
6039,10,2046
6045,6,2063
6056,6,2134
6335,1,2146
6421,2,2163
6505,4,2170
6517,6,2176
6598,9,2213
6688,8,2230
6742,2,2238
6854,4,2336
6933,10,2386
6977,5,2445
6978,10,2445
6983,9,2463
7443,2,2577
7649,9,2596
7822,1,2643
7842,0,2686
7862,2,2804
8076,6,2827
8128,7,2862
8267,5,2902
8310,3,2965
8419,4,2978
8438,2,3029
8537,8,3072
8689,7,3086
9037,6,3126
9039,7,3177
9040,2,3251
9160,9,3320
9274,0,3331
9297,5,3342
9316,10,3342
9363,6,3485
9492,7,3501
9551,1,3553
9565,6,3594
9712,5,3757
9777,0,3824
9968,2,3825
10032,9,3874
10106,8,3889
10131,7,3904
10475,9,3912
10758,3,3930
10864,4,3947
11039,8,4001
11224,4,4017
11280,10,4027
11319,2,4044
11323,4,4096
11330,5,4114
11587,6,4115
11652,4,4136
11699,2,4162
11961,1,4166
12071,0,4194
12341,9,4231
12406,6,4265
12426,6,4323
12512,9,4354
12817,9,4364
12924,3,4418
13164,4,4424
13249,8,4483
13292,9,4488
13316,5,4596
13332,1,4625
13383,7,4645
13406,6,4707
13674,1,4723
13789,0,4739
13864,9,4757
13951,8,4760
14043,4,4846
14201,1,4850
14251,9,4930
14388,0,4942
14572,10,5012
14597,0,5064
14721,2,5103
14766,4,5107
15156,8,5155
15247,1,5185
15410,3,5212
15515,2,5238
15658,9,5267
16217,5,5359
16381,7,5401
16418,3,5436
16425,9,5436
16459,3,5439
16587,6,5479
16688,1,5484
16711,10,5486
16831,6,5583
16842,5,5588
16865,1,5595
16913,0,5642
17108,5,5654
17254,3,5708
17469,7,5863
17728,6,5869
17943,4,5904
18144,7,5930
18337,3,5936
18339,2,5980
18487,8,6024
18795,8,6032
18933,0,6124
18984,1,6151
19066,8,6169
19209,6,6177
19331,8,6193
19342,10,6200
19384,9,6212
19424,1,6283
19507,1,6408
19628,7,6504
19643,4,6518
19988,6,6533
0,5,6546
12,9,6553
67,3,6558
68,10,6637
185,6,6644
204,4,6655
211,2,6815
277,5,6831
282,10,6874
283,6,6878
368,9,6879
379,0,6943
642,9,6971
740,8,6977
758,2,7022
763,2,7033
835,1,7189
895,3,7263
973,1,7266
1034,3,7278
1258,4,7398
1271,2,7442
1278,7,7443
1476,5,7460
1537,5,7491
1782,5,7547
1889,8,7578
1963,6,7583
1964,8,7602
2049,10,7652
2115,0,7770
2179,3,7811
2236,9,7886
2289,9,7888
2317,4,7940
2336,2,7958
2475,1,8130
2492,6,8148
2517,5,8172
2529,1,8224
2560,10,8331
2578,7,8415
2691,3,8490
2798,7,8504
2840,1,8541
2887,8,8553
3110,2,8556
3156,0,8561
3612,6,8562
3618,4,8622
3645,5,8674
3829,5,8713
3913,9,8866
3942,7,8879
4156,6,8915
4222,3,8917
4243,1,8948
4299,8,9097
4464,10,9228
4478,6,9253
4604,6,9279
4641,5,9311
4730,2,9320
4921,4,9324
4960,10,9351
4998,3,9374
5314,1,9385
5465,0,9432
5533,7,9465
5607,9,9489
5755,8,9518
5830,6,9528
5978,0,9609
6041,4,9669
6059,5,9770
6061,9,9824
6202,3,9839
6231,7,9842
6264,10,9912
6319,10,10003
6542,2,10030
6958,4,10034
6973,5,10158
