流id,流带宽,进入设备时间,发送流所需时间
0,8455,1,285
1,8994,50,218
2,3139,72,255
3,1129,2,977
4,2272,61,314
5,7264,99,940
6,5584,17,845
7,8537,6,486
8,2087,6,817
9,3948,55,704
10,2245,21,550
11,6157,13,561
12,6543,1,326
13,7388,72,219
14,7839,69,152
15,4290,38,72
16,3779,71,269
17,6347,70,631
18,6105,10,730
19,3565,62,544
20,4241,41,809
21,5625,76,151
22,9839,97,684
23,3683,10,139
24,8212,83,716
25,4119,44,182
26,9104,30,239
27,7509,98,241
28,2085,37,702
29,9322,64,424
30,9281,62,182
31,6223,53,116
32,2571,93,258
33,6517,6,361
34,5887,94,980
35,2785,30,799
36,5641,22,767
37,4612,7,141
38,5315,56,751
39,6104,62,103
40,4545,13,196
41,2759,3,328
42,1868,13,285
43,9309,35,421
44,2016,54,839
45,4796,47,144
46,6841,20,837
47,5447,54,674
48,7473,92,527
49,4368,96,616
50,3606,75,433
51,8549,29,5
52,4549,60,351
53,6343,19,334
54,3800,51,146
55,2535,15,802
56,7834,88,774
57,6242,88,351
58,5428,11,739
59,2125,55,187
60,4475,2,388
61,1162,73,729
62,8132,12,346
63,1704,81,867
64,1752,55,750
65,1186,34,810
66,9226,44,571
67,7592,1,705
68,9735,1,237
69,1258,41,832
70,4418,59,255
71,7238,70,762
72,5210,24,812
73,5705,56,153
74,6354,66,397
75,6147,79,707
76,4826,85,728
77,5194,69,92
78,9172,72,591
79,2217,42,485
80,7283,72,668
81,6355,13,7
82,1231,68,919
83,8457,23,162
84,2881,73,44
85,9714,63,787
86,4073,31,650
87,7836,28,360
88,2476,31,273
89,9642,86,701
90,5113,87,389
91,9862,57,203
92,8639,6,718
93,2388,74,446
94,9212,97,558
95,4217,48,200
96,9374,49,226
97,3721,0,126
98,1214,76,94
99,7166,40,191
100,9944,65,942
101,5896,0,533
102,6515,58,301
103,3682,63,113
104,7554,25,777
105,2419,31,770
106,8966,43,702
107,5190,91,19
108,4749,17,217
109,3632,11,680
110,5720,11,932
111,1687,36,162
112,8283,60,636
113,1500,37,237
114,2636,96,867
115,4360,61,599
116,2901,97,87
117,1178,31,333
118,6922,56,332
119,6828,16,125
120,2152,29,654
121,4573,81,471
122,3177,83,235
123,4617,75,593
124,5241,46,213
125,1874,30,719
126,5970,89,842
127,5730,35,746
128,7741,85,965
129,9483,68,772
130,6874,38,843
131,9501,97,625
132,2741,24,66
133,8407,92,675
134,8816,81,145
135,5172,89,523
136,3672,60,627
137,8246,37,836
138,2544,68,15
139,6175,44,597
140,8803,23,731
141,3340,98,507
142,7262,7,157
143,1242,75,383
144,6007,58,119
145,2868,16,730
146,9213,68,887
147,7243,25,4
148,3585,94,953
149,9663,67,781
150,4729,71,103
151,6583,52,593
152,7343,91,476
153,8397,96,271
154,6443,28,790
155,5502,84,69
156,4720,23,200
157,1051,80,371
158,8510,52,766
159,9044,24,464
160,3084,70,671
161,4238,32,509
162,1431,68,507
163,4106,91,247
164,1141,6,831
165,4768,78,675
166,4648,13,354
167,1349,87,919
168,8894,77,715
169,2633,81,606
170,8592,87,9
171,9053,39,857
172,3154,21,429
173,7880,64,390
174,2693,33,873
175,9097,42,85
176,2616,51,534
177,4929,40,581
178,8555,65,745
179,3841,60,706
180,4989,43,849
181,7889,54,155
182,6536,23,653
183,3773,29,588
184,9689,79,187
