端口id,端口带宽
0,90000
1,60000
2,140000
3,150000
4,50000
5,60000
6,150000
7,50000
8,90000
9,60000
10,110000
11,110000
12,90000
13,130000
14,100000
15,130000
16,110000
17,120000
18,140000
19,90000
20,100000
21,50000
22,90000
23,100000
24,50000
25,70000
26,60000
27,150000
28,70000
29,90000
30,100000
31,130000
32,90000
33,60000
34,100000
35,150000
36,140000
37,130000
38,140000
39,50000
40,110000
41,90000
42,100000
43,150000
44,100000
45,130000
46,100000
47,90000
48,120000
49,50000
50,120000
51,100000
52,60000
53,100000
54,70000
55,70000
56,60000
57,140000
58,150000
59,50000
60,110000
61,140000
62,150000
63,70000
64,150000
