流id,流带宽,进入设备时间,发送流所需时间
0,1980,0,796
1,4861,45,200
2,2807,4,379
3,7023,98,683
4,4218,2,636
5,2666,11,779
6,1037,82,932
7,3201,82,888
8,3132,24,321
9,6868,79,689
10,6051,75,15
11,1810,71,487
12,5178,91,355
13,3468,77,5
14,1439,56,28
15,7379,62,607
16,8989,17,740
17,5740,100,290
18,4121,87,450
19,5916,27,407
20,1444,74,63
21,3277,80,80
22,8291,77,632
23,7146,93,821
24,3486,37,959
25,7009,1,798
26,9251,91,918
27,4951,28,122
28,2751,82,994
29,8338,40,257
30,8432,18,391
31,4966,43,444
32,5791,53,535
33,6338,18,869
34,1971,34,961
35,5687,60,244
36,8153,5,781
37,6797,78,457
38,2796,74,896
39,7320,70,762
40,4129,63,638
41,1196,74,352
42,2321,95,991
43,1165,64,885
44,2905,36,114
45,5492,8,37
46,5714,79,336
47,7537,23,600
48,5588,31,560
49,6623,50,495
50,1623,64,397
51,6574,50,481
52,8156,17,802
53,3465,75,510
54,4229,70,230
55,8042,16,804
56,7672,44,407
57,8165,33,860
58,4742,57,533
59,5547,38,409
60,8258,60,391
61,3481,78,808
62,1600,93,968
63,4916,16,369
64,1160,96,338
65,6376,50,183
66,7888,19,791
67,7160,58,303
68,2183,12,112
69,2040,17,964
70,9272,94,574
71,4264,16,36
72,5680,92,600
73,3795,80,322
74,4766,39,540
75,2264,54,867
76,2725,41,698
77,7937,76,496
78,1406,0,668
79,5966,27,992
80,5540,83,199
81,8710,18,236
82,8570,92,323
83,1670,10,619
84,2175,92,52
85,3776,74,115
86,3207,12,122
87,1239,23,745
88,6419,5,505
89,2637,25,665
90,5859,75,758
91,5299,9,652
92,2342,58,792
93,1562,33,932
94,2878,28,749
95,3118,59,626
96,6381,4,964
97,4431,92,758
98,4750,62,995
99,2172,56,812
100,2495,86,511
101,4794,3,963
102,5671,11,846
103,1433,7,321
104,6075,40,968
105,6729,61,647
106,7370,9,206
107,4283,89,346
108,3408,10,739
109,9948,88,988
110,4804,7,376
111,8650,80,487
112,9166,14,994
113,3946,55,179
114,5081,65,764
115,3563,38,570
116,8824,42,541
117,1675,97,417
118,1938,94,476
119,3650,10,859
120,5420,25,133
121,1054,95,996
122,3436,76,463
123,2167,13,484
124,4221,27,63
125,3101,14,943
126,4978,41,455
127,1219,32,214
128,9568,45,486
129,9398,39,2
130,1373,65,287
131,2090,42,324
132,4310,86,784
133,1443,93,598
134,2746,68,96
135,1483,77,902
136,6185,84,45
137,7125,58,8
138,6812,37,421
139,3966,17,370
140,2153,60,333
141,1884,54,227
142,6275,43,85
143,4597,72,310
144,9672,75,521
145,7338,36,707
146,3509,15,680
147,2095,23,921
148,2924,16,156
149,5234,80,343
150,7212,94,893
151,3674,45,42
152,6493,99,787
153,1811,63,591
154,9695,74,874
155,8287,57,601
156,9615,63,226
157,3761,15,23
158,8156,5,845
159,2586,87,814
160,6489,79,56
161,6398,28,348
162,2805,20,802
163,9386,85,223
164,4518,16,668
165,2357,98,349
166,4025,39,213
167,2326,59,590
168,8770,36,681
169,6480,4,35
170,5702,61,738
171,8305,2,818
172,5433,33,968
173,4554,37,635
174,3733,87,850
175,7608,82,900
176,6084,21,204
177,2960,8,532
178,2294,31,80
179,2673,70,854
180,5269,32,715
181,4044,83,997
182,6365,53,780
183,2270,100,943
184,7573,56,203
185,1202,87,745
186,2861,6,103
187,5667,27,530
188,2978,88,234
189,1959,85,230
190,7979,72,575
191,1917,87,321
192,1262,99,65
193,2222,80,18
194,8485,95,493
195,1476,31,724
196,6046,9,827
197,6582,71,103
198,4420,15,52
199,2202,16,335
200,1175,90,802
201,2353,92,385
202,1038,15,524
203,9628,58,866
204,5919,75,827
205,9446,98,206
206,2632,88,535
207,2969,19,842
208,7618,43,475
209,6249,42,622
210,7644,8,859
211,6185,84,849
212,4154,78,496
213,5913,23,819
214,6511,45,977
