流id,流带宽,进入设备时间,发送流所需时间
0,5965,11,183
1,5845,57,65
2,3613,92,386
3,8775,81,697
4,4399,40,488
5,2975,80,94
6,5390,14,338
7,6901,94,881
8,6242,77,12
9,9892,77,368
10,1294,22,388
11,8375,4,852
12,3595,3,561
13,3178,13,914
14,3812,55,447
15,6765,56,200
16,1460,88,360
17,7481,29,491
18,9579,3,121
19,2498,78,944
20,8966,18,264
21,6753,6,545
22,5123,56,199
23,4931,64,164
24,6865,33,116
25,5346,65,954
26,4147,19,52
27,7888,55,926
28,8455,70,367
29,6099,10,697
30,2876,98,629
31,8682,14,943
32,9477,13,526
33,7006,5,350
34,4945,54,339
35,3405,96,635
36,7811,33,478
37,9978,18,690
38,6958,49,681
39,8216,41,392
40,6893,51,463
41,2289,69,450
42,9638,45,457
43,2660,73,220
44,9250,68,464
45,7387,39,841
46,9200,36,385
47,6801,28,136
48,5419,72,468
49,2019,94,19
50,4068,12,779
51,7967,27,431
52,8064,19,285
53,1065,47,568
54,7322,49,60
55,1468,70,668
56,7999,6,143
57,7335,28,662
58,8667,52,20
59,6497,11,380
60,3246,46,767
61,7249,84,730
62,3643,35,920
63,9818,80,864
64,6458,45,381
65,3198,94,753
66,2038,35,155
67,1190,70,478
68,4128,79,935
69,4140,24,234
70,5842,82,539
71,4916,78,888
72,3235,84,719
73,1436,100,310
74,5092,98,514
75,1472,79,93
76,8126,78,512
77,9322,98,331
78,1095,51,507
79,6820,14,583
80,6748,4,156
81,3209,60,53
82,9594,76,520
83,1450,6,677
84,6574,52,64
85,8716,59,807
86,5400,82,696
87,5825,26,498
88,1548,81,371
89,5943,48,233
90,1718,63,118
91,7662,41,918
92,6654,15,308
93,1119,7,242
94,8767,82,407
95,4262,99,396
96,5181,95,596
97,6064,67,112
98,7483,20,939
99,4929,29,524
100,1125,46,443
101,7358,2,230
102,5729,11,383
103,9090,62,778
104,4765,46,558
105,9047,28,989
106,3578,79,546
107,1988,11,799
108,2817,12,736
109,4623,71,759
110,3871,84,526
111,8495,46,814
112,4743,53,775
113,1107,77,176
114,4445,97,624
115,3451,34,314
116,9176,26,498
117,6363,34,86
118,1623,19,867
119,9372,25,366
120,4416,45,466
121,6682,7,835
122,5763,35,425
123,9184,92,821
124,5721,5,22
125,5960,35,848
126,7514,70,866
127,4813,87,36
128,4965,70,258
129,2074,32,756
130,7033,87,146
131,2758,82,741
132,6850,73,674
133,1816,95,358
134,7461,55,958
135,1080,48,78
136,5562,14,66
137,4895,3,320
138,3174,14,726
139,5864,30,497
140,9114,8,633
141,4609,24,212
142,5146,41,888
143,5520,85,781
144,3818,24,455
145,8834,38,996
146,5604,61,491
147,7578,18,573
148,3518,67,875
149,6877,96,173
150,5797,15,531
151,1964,90,431
152,1932,94,938
153,2823,36,964
154,3500,48,909
155,8269,43,897
156,5063,62,332
157,4234,44,35
158,8922,91,418
159,6599,35,727
160,6322,71,72
161,3996,42,574
162,1368,72,352
163,5294,28,856
164,9088,67,67
165,6609,13,938
166,5348,75,742
167,4023,13,859
168,7362,41,180
169,4055,35,157
170,7889,23,816
171,5861,84,716
172,7082,17,627
173,2121,94,116
174,5150,45,547
175,1616,91,651
176,4511,58,170
177,2110,43,145
178,6449,65,874
179,3615,37,750
180,4521,53,715
181,2115,45,476
182,1812,41,154
183,1481,30,606
184,3239,97,844
185,3542,53,836
186,1551,91,122
187,2231,59,321
188,5190,41,896
189,5621,12,469
190,5112,53,615
191,9700,19,862
192,6580,93,983
193,1271,85,708
194,2864,46,253
195,2719,90,734
196,2357,97,687
197,8281,26,698
198,6319,92,953
199,6080,59,105
200,8022,62,844
201,1501,69,614
202,6427,79,695
203,9609,47,279
204,4055,58,70
205,2446,24,838
206,9123,76,959
207,4064,83,809
208,3477,43,905
209,6023,82,279
210,5586,0,180
211,5219,61,975
212,4304,37,162
213,8612,87,507
214,5562,12,239
215,5595,86,947
216,4601,64,552
217,5081,28,459
218,4165,79,41
219,5092,82,101
220,3656,70,992
221,2714,14,453
222,4747,98,743
223,5524,60,817
224,8188,50,781
225,7099,97,328
226,2825,7,434
227,1930,29,303
228,5916,98,294
229,1897,84,238
230,7542,62,311
231,8665,91,249
232,4749,13,546
233,9505,96,594
234,5651,94,363
235,8686,88,843
236,9035,97,705
237,2785,93,618
238,5387,49,10
239,7094,97,390
240,2493,48,956
241,8956,93,846
242,1784,70,634
243,1684,96,741
244,4259,85,592
245,7121,60,490
246,6327,94,723
247,7234,83,29
248,4171,50,205
249,5510,33,633
250,2822,65,689
251,1446,91,310
252,1516,35,901
253,8160,21,699
254,9269,70,132
255,1967,35,183
256,3250,20,34
257,3047,16,625
258,7482,77,294
259,4159,100,322
260,3290,7,344
261,4665,5,102
262,6569,12,270
263,5220,28,707
264,3103,72,389
265,2940,11,256
266,2891,3,709
267,6306,53,431
268,6830,95,510
269,5625,82,872
270,2036,95,398
271,7804,56,907
272,2686,89,931
273,1125,3,551
274,2971,14,114
275,8019,74,843
276,3515,32,772
277,5609,8,753
278,8093,51,44
279,6118,21,876
280,5220,93,29
281,4733,75,878
282,3930,25,746
283,1595,58,156
284,6563,79,759
285,9217,92,23
286,8964,30,309
287,1485,41,465
288,4452,16,392
289,2748,62,815
290,5228,57,425
291,9351,7,151
292,5977,91,685
293,3776,82,171
294,3423,5,256
295,4975,94,342
296,1533,90,950
