流id,流带宽,进入设备时间,发送流所需时间
0,2616,96,154
1,1015,0,884
2,6436,78,350
3,7827,85,902
4,3560,92,601
5,3306,0,979
6,8884,57,150
7,6228,93,684
8,1714,26,96
9,7406,44,236
10,4140,90,580
11,7345,0,800
12,3408,29,229
13,9577,5,485
14,8151,35,108
15,6273,64,810
16,6226,81,848
17,3061,96,361
18,9221,31,442
19,9122,3,313
20,5510,78,845
21,5993,42,75
22,6144,60,540
23,3047,98,197
24,9380,87,62
25,1532,11,959
26,4066,19,843
27,6607,75,372
28,5854,10,528
29,3179,28,657
30,8005,20,154
31,9718,8,298
32,6829,3,469
33,3148,21,761
34,8508,80,238
35,4233,22,366
36,5202,37,979
37,7763,48,78
38,8161,14,14
39,7629,64,361
40,9547,10,179
41,1284,9,498
42,3334,2,429
43,5793,45,170
44,4437,23,549
45,3353,67,934
46,9808,3,399
47,1437,40,847
48,6586,59,834
49,4726,0,175
50,5825,5,928
51,3442,16,22
52,3738,1,922
53,9674,82,248
54,9270,67,500
55,6827,47,629
56,1631,88,871
57,2057,79,689
58,6081,98,714
59,6331,47,741
60,6812,5,249
61,6199,29,704
62,8207,62,170
63,5153,69,205
64,5182,51,564
65,9518,45,374
66,7588,41,90
67,5736,81,797
68,1262,11,184
69,9171,12,748
70,1094,53,819
71,5571,28,185
72,5909,80,320
73,4357,45,38
74,1975,38,793
75,5416,44,24
76,7010,6,901
77,4576,69,784
78,7160,97,723
79,6731,91,766
80,6577,19,532
81,6040,91,632
82,3003,63,888
83,7167,53,46
84,5092,23,5
85,2672,97,700
86,3751,77,899
87,1319,30,939
88,4734,20,141
89,1629,3,549
90,8970,57,457
91,8299,68,247
92,2574,45,527
93,5462,63,947
94,8234,75,985
95,1329,87,556
96,7297,85,455
97,5654,48,482
98,8205,100,987
99,8760,93,555
100,6932,23,864
101,5020,66,636
102,3386,17,300
103,3956,52,803
104,7896,10,822
105,9842,23,312
106,1127,92,792
107,2734,33,140
108,1999,96,502
109,3709,70,203
110,2581,10,154
111,4979,0,452
112,8951,52,413
113,1555,39,765
114,4929,0,217
115,9416,77,225
116,3236,28,311
117,1307,35,391
118,8980,56,27
119,1236,39,759
120,2835,25,89
121,9176,89,955
122,2830,71,87
123,9109,12,763
124,5868,0,993
125,1487,27,19
126,2839,70,373
127,6422,34,840
128,3288,53,373
129,9899,96,158
130,5182,98,641
131,9889,71,889
132,3348,17,106
133,3462,72,783
134,7886,51,65
135,7073,23,832
136,8468,90,278
137,6378,78,928
138,6917,60,803
139,6659,40,486
140,9220,27,632
141,6952,43,215
142,1199,68,170
143,7781,13,763
144,5948,20,702
145,2480,7,686
146,2843,4,67
147,7774,96,679
148,6706,7,191
149,7401,88,977
150,5333,38,579
151,4368,7,457
152,1636,29,611
153,8515,30,99
154,6588,61,108
155,5522,51,280
156,2526,66,344
157,5458,13,176
158,2453,95,56
159,8458,29,280
160,8057,63,999
161,5789,5,786
162,4176,23,180
163,2634,11,166
164,1982,4,526
165,9687,77,694
166,3729,21,826
167,6218,72,927
168,8770,66,959
169,2493,66,966
170,6074,90,456
171,5030,76,309
172,3593,77,634
