流id,流带宽,进入设备时间,发送流所需时间
0,8303,1,946
1,8386,38,637
2,2068,82,561
3,4034,50,124
4,1567,75,465
5,9388,0,548
6,3750,59,651
7,6969,94,581
8,9645,35,941
9,3388,35,88
10,1585,72,974
11,3886,86,336
12,5493,81,64
13,3964,49,553
14,3244,68,149
15,5074,41,45
16,1546,54,339
17,2977,100,622
18,3855,7,602
19,7914,44,485
20,3445,29,547
21,9837,68,307
22,6275,59,655
23,6365,48,680
24,4913,82,499
25,2237,24,41
26,6131,47,269
27,7253,1,304
28,3190,31,147
29,6170,83,163
30,6794,57,172
31,1997,29,557
32,8708,40,673
33,7356,83,646
34,1567,36,428
35,3778,64,59
36,3458,28,766
37,7444,82,336
38,3949,1,890
39,4413,68,698
40,9126,71,411
41,5800,27,452
42,4655,14,638
43,7768,40,453
44,7143,46,548
45,9813,87,710
46,7531,47,828
47,6215,45,501
48,5568,38,149
49,6561,13,115
50,3917,55,48
51,3665,99,870
52,9735,39,12
53,2031,98,954
54,3440,15,95
55,1047,88,563
56,8783,81,879
57,6278,71,329
58,7072,78,835
59,7397,26,782
60,2714,99,423
61,1692,15,601
62,3322,58,495
63,4655,29,211
64,9722,3,388
65,3079,81,572
66,4447,41,339
67,5021,20,486
68,1794,85,970
69,2349,7,209
70,9925,12,673
71,4355,72,601
72,4879,31,355
73,8733,12,613
74,4344,99,928
75,5315,26,627
76,8188,80,942
77,2485,44,5
78,1537,29,752
79,1660,91,982
80,6101,13,16
81,1909,30,601
82,8573,86,95
83,5303,96,368
84,7211,77,329
85,6517,52,243
86,5921,4,138
87,6639,2,981
88,2121,50,754
89,8995,10,697
90,3844,13,511
91,6041,94,98
92,4662,97,117
93,7960,6,127
94,2948,99,275
95,8429,37,597
96,3563,43,188
97,2539,40,961
98,6652,56,15
99,3644,81,868
100,5223,13,382
101,1158,30,39
102,6030,92,479
103,3395,94,611
104,5056,49,583
105,1800,91,410
106,5637,66,228
107,5647,18,683
108,9500,60,782
109,9339,63,47
110,6406,33,585
111,2921,71,303
112,9344,8,36
113,3848,16,794
114,8191,56,829
115,8300,86,201
116,4544,3,74
117,2303,77,789
118,8767,3,673
119,4677,84,285
120,4752,37,316
121,8764,79,840
122,6472,91,898
123,6355,17,452
124,4384,18,189
125,1438,77,316
126,8201,91,272
127,4223,47,412
128,7183,98,98
129,6474,55,227
130,5208,55,446
131,3014,98,886
132,9513,15,154
133,3064,29,27
134,9544,92,444
135,9773,0,344
136,2618,99,597
137,1140,45,91
138,5598,90,659
139,9212,21,892
140,4839,41,220
141,4872,45,236
142,3513,67,112
143,7990,48,809
144,7002,54,464
145,2952,18,580
146,9683,45,613
147,8456,90,41
148,3293,33,903
149,2998,49,304
150,6490,70,11
151,3105,89,124
152,1466,60,612
153,7408,35,328
154,2291,92,635
155,3529,22,187
156,6283,96,446
157,8655,84,928
158,3769,16,62
159,1046,2,719
160,5036,2,603
161,4993,73,732
162,7914,89,827
163,6826,91,435
164,4016,44,214
165,3322,38,859
166,7674,18,752
167,4137,100,783
168,3724,41,293
169,5799,0,312
170,5603,20,844
171,8482,28,743
172,8550,73,647
173,4643,72,997
174,4628,8,772
175,6660,93,212
176,9050,38,950
177,2245,56,257
178,9504,46,4
179,5827,17,9
180,1141,56,784
181,3506,52,756
182,9226,28,816
183,6043,58,513
184,1794,50,923
185,3735,54,136
186,9951,60,98
187,8549,39,168
188,4412,52,401
189,1435,87,515
190,4036,50,878
191,4080,83,111
192,8852,68,354
193,8267,69,171
194,5649,37,387
195,5034,86,628
196,1205,85,801
197,8021,30,784
198,5789,17,12
199,8311,74,209
200,3270,35,801
201,9273,34,369
202,5571,81,144
203,3417,3,404
204,6632,53,304
205,2277,26,312
206,6213,62,54
207,2201,39,55
208,5896,32,140
209,8200,16,992
210,5191,13,372
211,7262,63,441
212,4117,41,996
213,8866,58,137
214,5343,73,568
215,8715,78,301
216,6533,9,922
217,6467,33,416
218,4874,71,864
219,3886,97,170
220,3717,44,487
221,9969,50,189
222,8778,36,535
223,3846,94,547
224,5023,57,926
225,3606,99,951
226,5838,16,792
227,7309,63,560
228,3208,18,700
229,7080,36,539
230,2953,57,415
231,2455,2,501
232,2193,57,872
233,7811,23,966
234,1431,69,421
235,6538,100,794
236,2437,56,439
237,1533,27,119
238,1661,11,868
239,3758,59,715
240,8756,66,307
241,3737,54,129
242,5056,78,748
243,3327,52,656
244,7911,22,365
245,8647,44,695
246,1368,6,708
247,2521,48,400
248,5221,41,974
249,5841,41,656
250,2798,74,84
251,2572,98,954
252,5957,68,70
253,5817,60,550
254,8234,86,505
255,4345,61,588
256,6515,51,54
257,8074,18,586
258,2217,97,513
259,8187,63,472
260,8967,2,776
261,3788,66,651
262,6694,32,810
263,4673,75,140
264,5628,63,721
265,4341,15,447
266,7496,27,509
267,1851,11,281
268,4438,52,916
269,5468,11,680
270,8292,52,480
271,8348,49,399
272,9279,67,187
273,1527,97,115
274,3723,41,204
275,2919,27,887
276,1795,97,721
277,5784,9,470
278,9758,71,187
279,5270,30,321
280,9593,31,146
281,2012,15,289
282,5073,7,38
283,3895,45,263
284,5780,64,438
285,2301,20,990
286,7573,49,77
287,9679,19,858
288,3498,55,939
289,3648,68,763
