端口id,端口带宽
0,90000
1,120000
2,90000
3,110000
4,130000
5,110000
6,100000
7,50000
8,90000
9,80000
10,150000
11,110000
12,60000
13,70000
14,90000
15,90000
16,110000
17,70000
18,110000
19,60000
20,60000
21,80000
22,70000
23,130000
24,120000
25,50000
26,150000
27,120000
28,100000
29,80000
30,150000
31,50000
32,120000
33,90000
34,90000
35,100000
36,80000
37,110000
38,150000
39,80000
40,70000
41,90000
42,100000
43,90000
44,150000
45,90000
46,150000
47,140000
48,70000
49,120000
50,150000
51,80000
52,80000
53,90000
54,100000
55,60000
56,130000
57,120000
58,140000
59,80000
60,70000
61,120000
62,90000
63,100000
64,110000
65,50000
66,90000
67,100000
68,90000
69,80000
70,90000
71,150000
72,80000
73,130000
74,60000
75,140000
76,100000
77,120000
78,90000
79,60000
80,120000
81,140000
82,150000
83,130000
84,140000
85,120000
86,120000
87,110000
88,60000
89,80000
90,60000
