流id,流带宽，起始时间，发送时间
0,736,30,5
1,805,27,47
2,314,47,47
3,895,26,2
4,693,28,4
5,353,29,44
6,529,29,11
7,891,22,2
8,792,33,28
9,119,2,16
10,837,34,9
11,220,42,9
12,823,24,49
13,104,45,4
14,76,48,40
15,390,47,9
16,379,4,24
17,981,8,27
18,754,44,16
19,183,23,38
20,86,39,5
21,417,32,32
22,489,29,13
23,92,5,50
24,998,45,9
25,233,30,42
26,959,15,41
27,264,33,47
28,315,6,20
29,669,3,26
30,978,24,15
31,29,39,38
32,101,3,12
33,957,8,12
34,941,42,42
35,45,22,37
36,241,1,38
37,860,30,26
38,535,46,20
39,324,26,18
40,347,26,23
41,680,32,23
42,814,47,18
43,816,14,42
44,364,13,36
45,554,4,40
46,985,24,5
47,390,50,41
48,635,5,30
49,425,16,27
50,321,23,17
51,871,8,41
52,887,26,15
53,365,28,3
54,221,41,5
55,592,10,49
56,363,49,22
57,450,1,6
58,752,25,21
59,923,7,32
60,341,29,50
61,613,30,47
62,277,44,46
63,938,45,40
64,422,40,20
65,176,4,36
66,645,3,49
67,811,33,7
68,240,24,34
69,103,34,24
70,742,30,33
71,160,30,19
72,458,41,30
73,807,34,29
74,446,39,13
75,979,44,48
76,750,45,5
77,797,48,42
78,88,30,32
79,544,37,41
80,433,31,38
81,165,41,6
82,789,16,29
83,307,6,49
84,232,30,29
85,968,32,43
86,345,16,10
87,344,38,9
88,121,18,4
89,614,48,21
90,384,29,36
91,31,40,43
92,623,31,9
93,765,29,40
94,584,36,18
95,979,21,39
96,468,31,12
97,414,12,24
98,952,30,11
99,493,18,21
100,219,34,19
101,515,39,39
102,503,2,12
103,829,23,1
104,591,14,1
105,664,12,15
106,745,38,7
107,821,9,20
108,806,32,21
109,609,20,42
110,909,37,5
111,997,44,50
112,491,23,50
113,784,42,43
114,617,7,27
115,865,23,19
116,267,29,3
117,35,9,43
118,320,18,6
119,561,32,8
120,268,50,37
121,654,4,43
122,296,35,24
123,837,5,28
124,21,47,2
125,441,12,47
126,107,27,13
127,687,1,37
128,802,23,23
129,765,1,24
130,372,34,18
131,971,4,3
132,181,24,16
133,897,36,22
134,613,5,48
135,29,28,7
136,958,9,28
137,451,48,9
138,835,5,6
139,26,11,23
140,709,6,5
141,472,0,27
142,707,25,20
143,994,0,41
144,102,25,49
145,733,12,28
146,184,46,49
147,597,34,2
148,696,32,1
149,754,34,20
150,628,7,47
151,873,22,48
152,582,12,10
153,660,32,35
154,567,1,19
155,67,42,3
156,886,21,5
157,851,37,49
158,972,10,22
159,780,31,44
160,327,15,13
161,756,3,40
162,842,47,5
163,596,40,10
164,22,1,46
165,531,1,25
166,989,33,19
167,315,12,23
168,214,30,8
169,36,8,2
170,120,48,22
171,311,46,19
172,222,14,22
173,972,49,32
174,546,8,39
175,192,4,31
176,951,36,28
177,141,39,11
178,929,29,46
179,342,6,14
180,263,21,43
181,938,47,19
182,458,39,1
183,977,34,2
184,615,6,18
185,589,47,7
186,458,4,31
187,632,20,23
188,835,36,11
189,985,18,7
190,700,10,33
191,176,28,13
192,712,9,31
193,760,49,14
194,524,37,3
195,114,43,17
196,330,35,19
197,650,37,20
198,696,22,44
199,37,21,47
200,445,22,42
201,954,45,36
202,702,39,12
203,83,38,6
204,202,33,36
205,988,22,32
206,514,3,11
207,958,24,28
208,273,36,28
209,766,35,19
210,85,38,18
211,997,4,28
212,749,13,17
213,460,27,36
214,230,30,45
215,562,27,12
216,191,28,34
217,649,36,40
218,124,46,50
219,256,12,11
220,91,47,15
221,529,9,19
222,354,22,3
223,695,10,1
224,419,22,15
225,964,26,13
226,751,22,47
227,676,28,43
228,934,25,28
229,778,20,18
230,938,5,49
231,92,44,12
232,501,44,19
233,125,24,30
234,420,49,42
235,17,30,31
236,290,4,45
237,266,0,7
238,301,11,14
239,334,31,37
240,463,27,13
241,401,18,25
242,450,4,14
243,987,16,46
244,991,17,13
245,858,34,12
246,946,27,24
247,934,43,38
248,460,33,14
249,645,18,2
250,925,19,4
251,97,3,20
252,420,31,13
253,47,15,13
254,746,10,12
255,905,36,15
256,754,40,13
257,76,29,24
258,686,14,22
259,425,43,16
260,887,43,13
261,37,36,18
262,264,48,45
263,522,10,42
264,26,34,45
265,223,42,25
266,184,14,11
267,108,10,20
268,712,2,19
269,824,42,4
270,69,13,45
271,850,46,37
272,718,32,4
273,584,33,46
274,409,14,8
275,332,41,35
276,571,48,42
277,251,37,18
278,619,18,4
279,773,17,37
280,91,25,35
281,203,46,12
282,181,36,43
283,35,29,9
284,769,50,7
285,937,37,27
286,754,18,3
287,590,41,48
288,942,40,24
289,229,42,4
290,210,36,46
291,163,43,21
292,108,49,16
293,961,44,6
294,38,12,31
295,689,23,32
296,957,6,7
297,816,17,2
298,518,46,31
299,92,49,7
300,483,37,3
301,356,34,47
302,43,4,29
303,664,40,47
304,333,48,46
305,657,12,28
306,734,50,3
307,147,41,10
308,530,31,6
309,730,12,33
310,702,27,14
311,699,5,23
312,660,24,26
313,659,5,15
314,574,3,32
315,543,28,32
316,430,8,25
317,217,17,41
318,572,43,39
319,777,26,3
320,739,22,18
321,861,12,33
322,801,39,48
323,551,39,21
324,645,16,18
325,437,50,21
326,706,5,4
327,182,43,2
328,945,32,20
329,61,18,35
330,909,14,45
331,35,35,17
332,428,29,49
333,757,49,28
334,350,39,22
335,705,48,27
336,648,36,36
337,942,36,39
338,353,23,18
339,524,18,46
340,681,9,48
341,417,29,40
342,153,34,40
343,123,1,46
344,354,12,45
345,600,0,32
346,923,23,43
347,736,25,22
348,243,15,20
349,489,24,23
350,207,41,37
351,918,6,7
352,200,1,29
353,838,8,40
354,944,34,46
355,872,10,21
356,349,39,16
357,484,8,30
358,50,12,33
359,82,34,4
360,198,50,29
361,883,12,23
362,654,22,45
363,396,48,5
364,517,32,44
365,687,27,5
366,301,47,3
367,71,18,5
368,746,20,33
369,979,5,47
370,279,41,28
371,505,40,32
372,445,28,24
373,313,50,29
374,759,38,11
375,461,41,2
376,354,16,16
377,895,11,19
378,584,19,24
379,785,0,40
380,356,22,42
381,832,48,13
382,912,27,7
383,668,47,8
384,831,49,25
385,272,12,4
386,92,43,38
387,874,21,32
388,441,45,21
389,710,25,23
390,292,1,46
391,229,0,20
392,905,44,42
393,134,35,9
394,902,44,42
395,471,16,30
396,975,44,39
397,679,42,3
398,887,21,12
399,470,27,22
400,862,49,15
401,852,29,36
402,280,18,12
403,586,33,28
404,766,28,32
405,779,26,36
406,761,25,25
407,597,37,42
408,936,18,47
409,376,3,3
410,698,38,42
411,340,3,48
412,593,2,26
413,151,34,34
414,34,26,8
415,244,1,18
416,248,16,10
417,412,41,20
418,362,46,11
419,14,0,38
420,28,45,2
421,316,3,12
422,706,33,20
423,114,43,38
424,820,38,38
425,935,12,35
426,356,12,27
427,683,31,47
428,121,42,37
429,569,32,18
430,957,32,1
431,322,15,6
432,321,21,3
433,856,2,43
434,797,44,25
435,734,32,7
436,539,50,23
437,831,20,41
438,518,39,50
439,766,21,43
440,744,26,37
441,707,37,27
442,554,46,4
443,293,7,9
444,890,30,32
445,796,38,14
446,731,14,22
447,515,16,3
448,278,7,10
449,365,44,45
450,841,36,16
451,589,32,13
452,536,43,6
453,621,26,40
454,611,13,24
455,262,7,38
456,490,25,43
457,114,36,4
458,986,22,41
459,712,22,28
460,439,21,14
461,184,8,40
462,749,7,16
463,630,19,31
464,86,5,39
465,927,10,46
466,262,25,10
467,550,47,40
468,287,36,15
469,797,47,31
470,694,11,22
471,582,23,15
472,868,39,22
473,576,26,36
474,337,46,9
475,800,33,35
476,768,46,35
477,740,44,22
478,560,36,7
479,89,18,38
480,34,17,5
481,368,26,35
482,806,9,6
483,297,2,44
484,438,32,9
485,344,25,2
486,819,38,43
487,963,50,28
488,864,45,37
489,276,41,5
490,759,23,17
491,776,21,41
492,860,5,33
493,874,36,1
494,773,43,3
495,262,36,48
496,647,41,47
497,164,0,28
498,957,47,34
499,273,7,1
500,936,28,49
501,775,40,12
502,42,24,30
503,137,12,19
504,204,18,44
505,966,39,45
506,396,21,34
507,138,4,31
508,740,21,34
509,524,36,43
510,339,42,2
511,605,2,23
512,243,30,13
513,937,7,46
514,897,34,44
515,616,38,3
516,859,17,37
517,271,14,19
518,379,0,46
519,73,30,24
520,962,50,35
521,397,5,6
522,41,38,24
523,361,12,36
524,211,46,48
525,146,7,18
526,651,0,8
