流id,流带宽,进入设备时间,发送流所需时间
0,3693,9,442
1,4041,69,707
2,5018,96,651
3,6403,38,835
4,2265,25,739
5,7440,44,412
6,3059,61,445
7,3746,67,782
8,6633,56,150
9,2326,92,10
10,5326,56,10
11,1672,2,641
12,4513,29,656
13,1860,49,508
14,5655,97,182
15,2867,4,500
16,9945,100,737
17,2058,40,657
18,2185,41,488
19,2693,36,940
20,2035,82,256
21,5499,67,891
22,7764,50,426
23,5744,96,89
24,3752,83,608
25,6397,40,685
26,8318,64,699
27,4384,85,240
28,5846,35,35
29,8413,60,304
30,8656,49,481
31,5293,83,787
32,7692,86,342
33,7091,85,83
34,6307,96,244
35,1393,81,990
36,6304,65,700
37,8506,44,282
38,4707,74,49
39,2887,4,555
40,4791,95,78
41,4284,91,649
42,3252,77,260
43,8182,51,673
44,8846,20,194
45,8915,4,441
46,9996,100,232
47,1860,65,761
48,4265,44,947
49,4563,1,866
50,4369,53,43
51,4734,87,610
52,7105,10,201
53,9807,68,249
54,6676,25,565
55,5120,15,413
56,3418,91,113
57,2121,94,260
58,1301,53,560
59,7296,48,779
60,8133,85,896
61,5653,20,356
62,3991,32,598
63,7152,86,878
64,7426,57,931
65,5528,83,163
66,5375,92,343
67,6116,59,901
68,4714,86,338
69,3918,38,711
70,9777,87,585
71,6984,100,469
72,6339,34,950
73,5162,81,798
74,4874,65,180
75,9766,3,60
76,9476,53,879
77,2130,31,386
78,6269,37,405
79,1919,42,888
80,3051,35,418
81,1954,53,926
82,9023,36,139
83,5848,38,976
84,1933,63,818
85,2528,38,586
86,3189,65,64
87,2223,50,241
88,9589,66,326
89,1456,43,900
90,5144,77,914
91,7038,44,284
92,3552,65,235
93,2649,100,432
94,6287,100,41
95,9984,56,438
96,2720,60,26
97,6480,79,498
98,1837,14,874
99,5218,8,465
100,9918,94,69
101,4539,45,162
102,5916,54,53
103,5988,17,401
104,2516,47,237
105,2745,21,399
106,3330,9,612
107,7712,56,618
108,1298,46,839
109,4537,93,103
110,3393,79,829
111,2306,33,816
112,2001,71,159
113,8392,34,518
114,3612,36,800
115,6769,81,583
116,3927,10,220
117,8135,65,301
118,3840,8,524
119,3901,70,141
120,9602,21,758
121,6908,77,829
122,8217,26,310
123,4602,2,836
124,8367,65,493
125,4192,51,148
126,8270,96,691
127,5260,82,13
128,8212,82,755
129,4834,24,664
130,7007,39,960
131,3292,22,106
132,4380,12,932
133,9218,20,274
134,3781,58,886
135,9571,54,146
136,4450,27,260
137,1025,43,726
138,3450,79,747
139,2716,18,458
140,6481,86,825
141,6615,67,296
142,8833,78,831
143,7238,60,698
144,4467,69,650
145,3868,64,648
146,8528,50,939
147,7643,89,39
148,3071,69,679
149,6316,49,970
150,4709,12,744
151,9723,70,664
152,8840,47,234
153,7349,1,599
154,2278,49,886
155,3620,36,883
156,3115,1,502
157,4451,90,528
158,7677,57,627
159,2782,96,592
160,1200,88,22
161,4919,19,29
162,5355,2,998
163,5035,39,151
164,1764,20,968
165,5483,20,561
166,6108,60,252
167,3268,94,246
168,5318,76,348
169,7217,69,305
170,7690,81,665
171,3882,49,61
172,3160,2,54
173,2292,12,845
174,4134,64,779
175,9028,46,902
176,3455,56,755
177,9439,66,278
178,5091,76,283
179,2252,12,551
180,3246,37,699
181,3974,72,344
182,6188,11,796
183,1583,91,811
184,2343,84,891
185,8947,43,714
186,2321,42,129
187,3901,94,168
188,2067,46,94
189,2882,6,5
190,6557,22,433
191,5069,58,690
192,9100,62,347
193,7822,65,217
194,2050,42,350
195,2317,81,224
196,7007,66,610
197,1613,84,710
198,5177,92,357
199,4569,34,925
200,2719,43,906
201,5209,0,154
202,2508,21,567
203,8187,87,739
204,5743,13,670
205,9482,45,198
206,2845,85,473
207,4938,19,11
208,4255,34,346
209,5529,9,694
210,4317,44,984
211,7558,42,696
212,2139,16,640
213,2462,85,513
214,4677,68,489
215,4866,77,333
216,8272,91,638
217,7468,46,238
218,6192,46,415
219,7891,90,572
220,8231,87,724
221,8851,10,649
222,5499,89,733
223,3433,30,193
224,7910,28,490
225,1000,44,412
226,8188,76,191
227,1884,4,14
228,4781,58,448
229,6800,19,281
230,6579,20,379
231,1753,79,929
232,5141,85,889
233,2651,55,847
234,4750,56,4
235,8781,93,635
236,2607,77,977
237,4542,63,283
238,7369,32,290
239,1562,21,58
240,4347,58,606
241,2089,12,442
242,5845,29,779
243,7855,46,577
244,4175,75,629
245,5883,96,44
246,9191,20,366
247,9285,100,895
248,5602,6,238
249,6283,89,260
250,7972,21,9
251,5911,92,502
252,1120,82,313
253,4945,20,405
254,2946,44,816
255,8210,35,509
256,2520,56,58
257,3972,42,287
258,8025,14,817
259,6654,47,345
260,7724,29,538
261,5989,60,778
262,5451,27,229
263,4660,98,375
264,6352,79,328
265,1860,28,754
266,1194,54,881
267,1457,68,493
268,6863,92,975
269,5818,21,365
270,9649,47,269
271,6514,52,290
272,7025,1,801
273,3744,72,89
274,2316,56,755
275,4153,32,435
276,5744,42,883
277,4486,96,74
278,3523,25,707
279,3735,75,376
280,4733,49,458
281,4822,100,122
282,4436,99,990
283,5690,87,503
284,6213,88,710
285,6730,95,161
286,2344,37,9
287,3760,37,495
288,2937,94,436
289,4627,47,768
290,6513,25,644
291,7421,28,104
292,4982,58,866
293,8804,40,41
294,7010,86,556
295,6851,9,905
296,7081,96,30
297,1919,77,730
298,8310,20,756
299,5880,46,586
300,4895,1,592
301,8798,69,650
302,3404,84,490
303,2132,12,172
304,5243,1,969
305,6109,56,459
306,7762,89,656
307,6563,28,574
308,9976,71,618
309,9270,100,449
310,2777,84,65
311,6975,23,409
312,6417,85,145
313,6886,93,961
314,2218,3,862
315,7898,58,182
316,4263,3,385
317,6223,49,678
318,8223,18,377
319,2468,75,223
320,6290,41,856
321,8148,83,112
322,8763,58,441
323,5920,44,12
324,3970,62,574
325,3852,87,855
326,9246,27,278
327,5444,47,375
328,8103,41,348
329,3042,36,655
330,6731,87,543
331,4424,0,858
332,2055,20,451
333,2026,42,220
334,3971,89,1
335,7079,21,848
336,6072,60,231
337,8473,100,704
338,2911,74,579
339,9140,14,361
340,8039,18,442
341,4453,24,354
342,2601,58,423
343,3487,33,538
344,1759,28,460
345,9802,48,170
346,6716,16,946
347,4313,11,212
348,3988,60,578
349,4655,23,354
350,5653,84,719
351,8740,44,444
352,3290,75,22
353,2856,64,832
354,7121,55,400
355,7223,30,620
356,4073,47,504
357,1190,44,642
358,5463,29,285
359,5048,45,553
360,5619,13,250
361,4741,0,433
362,6784,51,274
363,4035,26,12
364,7200,19,801
365,5189,87,329
366,2158,54,355
367,2506,96,981
368,7633,30,714
369,3651,54,928
370,4651,81,739
371,6046,81,69
372,4299,52,891
373,4696,22,685
374,8723,42,341
375,2542,98,826
376,1750,61,339
377,8802,6,699
378,6187,67,449
379,7349,32,633
380,8614,69,387
381,9938,27,767
382,5251,34,571
383,1009,42,431
384,1305,77,558
385,6599,67,158
386,9553,58,759
387,9346,14,81
388,5641,2,422
389,7857,7,699
390,5511,30,969
391,4831,96,957
392,1644,59,176
393,1897,0,528
394,6727,95,563
395,7135,58,657
396,8921,97,122
397,2191,77,571
398,1389,43,840
399,9127,57,147
400,6005,68,164
401,6828,6,795
402,8797,94,704
403,8848,67,961
404,3398,26,732
405,6881,63,211
406,4878,48,44
407,2900,10,714
408,7735,25,566
409,1648,0,222
410,3119,86,699
411,7600,1,316
412,1100,56,138
413,2506,41,363
414,6480,73,741
415,1196,26,599
416,7055,52,23
417,2360,44,420
418,8724,0,184
419,3945,35,379
420,6068,63,257
421,4806,59,266
422,4852,0,688
423,4986,65,558
424,2618,47,950
425,9222,69,892
426,4974,22,452
427,4718,50,928
428,2547,7,822
429,6689,39,784
430,9400,98,246
431,1141,53,907
432,3084,83,563
433,2251,46,761
434,1631,42,930
435,7290,36,973
436,8407,24,590
437,2336,83,338
438,5420,46,794
439,9417,81,929
440,2408,88,932
441,5234,52,969
442,3392,52,913
443,4065,20,966
444,9679,64,785
445,2933,69,1000
446,4814,48,238
447,1315,12,117
448,5381,54,130
449,5188,66,432
450,8993,2,386
451,3316,80,561
452,6946,56,400
453,8509,3,688
454,4656,41,76
455,7423,48,538
456,6029,97,635
457,1491,30,501
458,8406,76,796
459,4487,67,562
460,4908,22,469
461,6251,58,842
462,2934,77,335
463,4540,80,269
464,5886,15,280
465,3001,99,770
466,8823,60,226
467,5988,44,571
468,3975,82,553
469,9604,42,115
470,5939,83,594
471,1669,76,880
472,3123,3,79
473,5520,44,430
