流id,流带宽,进入设备时间,发送流所需时间
0,8566,18,677
1,1785,73,205
2,1052,87,757
3,7595,94,856
4,9900,73,44
5,6506,88,606
6,1012,32,619
7,7902,52,462
8,6637,87,447
9,9300,72,524
10,2031,2,463
11,3808,20,706
12,2963,6,443
13,1405,70,396
14,8353,95,210
15,3782,76,563
16,1546,39,636
17,2496,21,324
18,8313,56,851
19,6037,59,662
20,7683,21,755
21,2362,31,71
22,7669,84,170
23,7952,77,927
24,5545,28,848
25,1226,36,984
26,3339,3,880
27,7139,92,31
28,3208,70,41
29,5681,57,138
30,3332,71,469
31,2607,80,626
32,2275,42,210
33,4336,70,719
34,6058,8,506
35,2021,18,12
36,6550,19,21
37,5393,26,294
38,3468,2,608
39,2440,53,851
40,2627,61,596
41,7448,29,562
42,6831,83,48
43,6349,6,480
44,2649,39,733
45,4674,45,496
46,1991,19,821
47,2117,38,250
48,4313,93,790
49,4541,67,208
50,4590,13,296
51,4334,58,3
52,4995,88,209
53,3202,61,655
54,9037,93,371
55,4943,31,334
56,2618,13,290
57,9560,72,884
58,6777,12,688
59,6562,54,120
60,2195,94,935
61,2002,71,441
62,1953,98,242
63,5517,100,382
64,1316,66,663
65,6411,39,915
66,3389,28,756
67,5972,60,318
68,3707,28,719
69,2224,17,557
70,1313,6,98
71,4672,57,970
72,8996,86,385
73,1142,23,561
74,6034,18,198
75,7180,29,970
76,8671,22,965
77,9181,84,344
78,7480,17,860
79,3554,78,529
80,8098,55,541
81,2756,29,163
82,1782,83,431
83,2888,83,426
84,9771,64,652
85,4014,99,642
86,5206,35,461
87,1136,81,371
88,1889,70,167
89,5117,69,245
90,4336,41,168
91,9551,82,521
92,9484,58,183
93,5301,22,192
94,1613,1,552
95,4110,69,438
96,8306,8,838
97,8723,19,619
98,3847,69,166
99,6287,55,256
100,1203,88,24
101,2767,53,618
102,6667,63,442
103,8817,11,987
104,2744,46,428
105,5735,99,146
106,5042,46,679
107,7574,100,793
108,8456,89,124
109,5158,1,948
110,7605,2,461
111,8492,6,992
112,3627,34,969
113,2780,24,958
114,4623,64,249
115,6674,40,28
116,4299,31,362
117,6606,5,471
118,6968,55,632
119,3229,34,93
120,7927,4,527
121,5864,59,787
122,5967,64,274
123,4363,25,84
124,5570,51,937
125,6698,86,768
126,7760,43,524
127,3879,97,657
128,4620,78,557
129,3840,89,542
130,5407,30,454
131,8078,51,768
132,2320,43,74
133,2334,44,597
134,1299,5,975
135,1976,56,381
136,1934,86,671
137,3275,0,827
138,3590,95,94
139,4002,29,261
140,2570,54,528
141,5148,3,589
142,7404,6,211
143,1219,29,310
144,1460,87,874
145,1412,21,248
146,5027,2,269
147,9405,20,833
148,1314,25,725
149,8794,27,15
150,1675,22,829
151,5733,49,174
152,9827,86,442
153,2931,81,814
154,9494,8,787
155,9758,72,583
156,7166,88,222
157,4160,53,815
158,3793,65,201
159,3906,83,753
160,8771,77,438
161,5026,79,749
162,2916,93,709
163,2658,9,960
164,2248,33,571
165,9548,76,423
166,5839,28,714
167,9839,9,714
168,4535,84,544
169,8738,23,239
170,5894,76,641
171,5441,13,149
172,5869,76,674
173,2240,100,978
174,6479,59,444
175,7143,27,469
176,4295,58,152
177,7149,43,273
178,6545,15,612
179,2527,59,24
180,4072,49,300
181,9473,86,953
182,7935,52,676
183,8281,75,524
184,6822,60,472
185,2372,2,287
186,5685,11,790
187,3694,67,491
188,9967,53,236
189,9664,7,184
190,6210,58,140
191,5158,7,444
192,8334,54,815
193,7008,74,655
194,2864,62,618
195,5377,8,862
196,1467,98,397
197,2043,79,991
198,3409,26,427
199,2749,96,88
200,8506,24,41
201,7027,18,131
202,1506,78,353
203,8905,5,859
204,7122,7,931
205,2834,0,635
206,2916,64,641
207,6025,33,459
208,5121,100,419
209,1647,63,394
210,3137,65,997
211,4762,15,483
212,1975,48,54
213,6084,7,165
214,6148,77,780
215,9159,40,440
216,8976,92,969
217,3939,85,981
218,5948,73,265
219,3637,100,208
220,1582,100,53
221,6034,34,224
222,2994,11,584
223,2187,97,300
224,7486,47,122
225,2140,12,100
226,7914,49,398
227,3022,37,434
228,1370,2,839
229,2833,29,165
230,5151,53,561
231,1170,4,152
232,6480,68,409
233,1208,30,609
234,3154,72,557
235,9844,0,21
236,4313,16,609
237,5410,22,281
238,4829,13,801
