137,0,0
205,1,0
235,2,0
275,3,0
444,4,0
596,5,0
614,6,0
659,7,0
824,8,0
872,9,0
988,10,0
1035,11,0
1236,12,0
1315,13,0
1427,14,0
1479,15,0
1500,16,0
1526,17,0
1559,18,0
1578,19,0
1672,20,0
1744,21,0
1778,22,0
1779,23,0
1811,22,9
1862,2,21
2007,18,55
2014,6,67
2175,21,69
2315,20,74
2817,21,96
2851,12,112
2887,17,112
2934,14,115
2963,5,124
3036,16,205
3047,4,218
3275,21,307
3313,22,359
3359,9,414
3362,12,414
3366,23,463
3412,9,567
3527,14,587
3613,10,604
3629,12,631
3649,1,635
3709,17,644
3782,16,668
3783,21,675
3863,16,698
3910,20,735
4072,8,758
4242,7,764
4318,2,777
4384,11,779
4681,19,779
4943,13,788
5091,1,801
5113,5,802
5150,6,814
5169,0,827
5428,22,827
5520,5,844
5591,2,846
5893,6,881
6119,3,896
6248,15,905
6274,18,938
6389,3,946
6398,5,955
6407,17,979
6580,17,991
6890,4,1001
6913,7,1019
7135,17,1029
7163,8,1056
7248,19,1059
7442,12,1118
7479,20,1154
7610,17,1189
7892,16,1228
7916,9,1236
8027,0,1251
8126,20,1280
8177,10,1308
8192,3,1350
8627,22,1358
8757,2,1380
8801,15,1383
8994,1,1403
9110,23,1406
9163,16,1431
9378,10,1458
9490,9,1465
9647,4,1481
9671,14,1482
9700,7,1493
9795,3,1498
9889,6,1541
9942,6,1596
9963,5,1617
94,21,1632
109,19,1656
554,3,1665
564,11,1677
575,10,1728
621,13,1772
643,8,1783
891,23,1809
894,18,1837
1108,3,1850
1197,8,1876
1245,14,1892
1436,15,1906
1521,22,1912
1708,5,1939
1905,1,1963
2006,12,1974
2069,0,2025
2134,17,2062
2309,10,2094
2543,16,2101
2553,5,2107
2574,0,2164
2634,7,2167
2802,21,2184
2873,2,2208
2979,9,2210
3147,20,2219
3171,17,2220
3570,14,2225
3604,21,2284
3837,1,2290
3978,4,2316
4232,22,2329
4275,11,2406
4498,7,2439
4606,7,2453
4744,20,2466
4758,15,2467
5020,6,2511
5078,7,2524
5143,19,2604
5179,12,2622
5325,16,2623
5513,3,2631
5677,13,2649
6089,4,2678
6120,18,2695
6153,23,2707
6284,8,2732
6322,22,2737
6387,18,2746
6518,21,2829
6630,0,2863
6862,14,2871
6869,18,2895
6893,4,2924
7001,10,2954
7151,23,2985
7387,5,2989
7481,2,3018
7524,1,3022
7573,16,3024
7641,17,3052
7933,9,3058
7940,12,3075
8125,16,3081
8161,16,3172
8169,13,3203
8238,15,3210
8271,15,3225
8550,14,3247
8587,2,3253
8810,8,3272
8857,4,3315
8984,11,3322
9068,20,3347
9117,6,3352
9154,17,3379
9182,18,3445
9201,19,3452
