流id,流带宽,进入设备时间,发送流所需时间
0,3708,59,543
1,6800,89,936
2,4802,75,47
3,2450,64,909
4,4498,57,451
5,2763,65,151
6,1765,58,919
7,4477,42,881
8,2088,13,705
9,5509,48,134
10,4859,74,104
11,3407,72,343
12,1494,11,971
13,5306,36,664
14,6774,37,638
15,9674,35,768
16,2081,88,253
17,3047,29,712
18,2452,16,739
19,4081,98,708
20,6766,65,183
21,8261,57,78
22,6397,88,565
23,9676,29,527
24,9509,60,178
25,5707,39,444
26,3426,32,645
27,3267,93,348
28,5875,32,970
29,7147,73,25
30,2383,54,793
31,1368,42,784
32,2472,20,643
33,2591,16,317
34,5556,52,573
35,9464,24,113
36,8627,37,7
37,4028,16,302
38,2152,29,350
39,5082,66,743
40,1811,86,182
41,2159,61,946
42,5592,25,535
43,3786,85,435
44,3888,92,23
45,7911,71,693
46,3888,44,991
47,1975,79,879
48,3505,11,856
49,2483,73,556
50,8552,31,419
51,4123,100,94
52,5960,66,457
53,6932,86,722
54,4176,22,248
55,3130,90,868
56,7707,35,941
57,2517,16,291
58,5559,36,772
59,7406,12,856
60,4660,77,739
61,7177,48,743
62,2832,24,110
63,4825,8,473
64,8259,56,210
65,3621,14,384
66,9334,25,147
67,4724,80,366
68,1195,83,612
69,7295,84,966
70,7195,4,331
71,7895,16,361
72,3619,95,349
73,4110,10,890
74,2387,45,772
75,8858,24,438
76,6358,96,140
77,9508,13,121
78,5910,28,310
79,1731,74,792
80,5405,82,497
81,7577,73,819
82,6999,19,694
83,7671,90,444
84,3595,60,376
85,2417,41,139
86,5191,33,975
87,5453,26,321
88,6746,7,717
89,4399,53,593
90,5605,97,270
91,9985,86,567
92,6164,92,105
93,1435,72,934
94,8946,69,469
95,2182,12,71
96,6181,33,260
97,5113,15,72
98,1672,22,266
99,2087,70,771
100,2088,7,4
101,3092,81,886
102,8540,68,921
103,3862,25,7
104,1503,87,301
105,1026,76,124
106,7340,72,152
107,8261,74,783
108,9111,5,505
109,8049,24,203
110,3186,24,322
111,2726,58,394
112,8923,33,90
113,3938,46,226
114,1954,46,247
115,3334,95,95
116,5472,87,150
117,9899,67,905
118,3216,63,257
119,1150,14,430
120,6729,93,347
121,6643,77,687
122,3830,96,970
123,3316,92,529
124,7820,92,875
125,7681,0,377
126,9045,28,437
127,6165,25,892
128,7645,68,370
129,4989,62,133
130,6051,89,26
131,1607,30,897
132,6250,52,862
133,4258,79,238
134,4628,20,86
135,7743,7,33
136,3519,76,622
137,1427,5,931
138,8187,20,539
139,3446,43,135
140,3572,16,246
141,5797,56,163
142,5779,97,508
143,6400,90,655
144,8035,62,338
145,8261,32,859
146,9217,56,51
147,1919,33,78
148,2838,43,626
149,9643,96,98
150,4589,14,359
151,1076,17,818
152,8897,38,925
153,6535,11,795
154,5674,41,305
155,1911,58,718
156,7276,22,193
157,3682,36,277
158,4010,19,870
159,4392,10,790
160,7196,8,834
161,4559,93,743
162,3589,84,586
163,3615,41,241
164,1234,25,969
165,9946,41,7
166,3923,10,83
167,5256,23,334
168,8021,59,920
169,7529,28,708
170,7536,59,628
171,3290,56,550
172,2612,6,363
173,3562,31,498
174,9313,99,795
175,4546,50,781
176,7551,84,665
177,9012,98,685
178,5461,33,221
179,8738,61,819
180,5158,49,828
181,1690,31,536
182,5133,92,456
183,3207,25,423
184,1554,43,573
185,4756,47,496
186,4447,90,538
187,5090,5,269
188,2395,36,915
189,1055,54,884
190,2207,42,769
191,1831,77,398
192,4442,8,510
193,1368,57,663
194,5047,56,707
195,6172,66,224
196,3648,16,287
197,8852,46,376
198,4378,55,311
199,6635,69,583
200,2262,78,827
201,3011,9,209
202,7404,6,251
203,7947,50,12
204,4552,65,728
205,8998,65,670
206,1436,7,560
207,6307,9,597
208,1876,77,591
209,1277,88,24
210,2764,95,163
211,8840,78,972
212,1575,99,651
213,2621,13,538
214,4232,13,709
215,1640,43,187
216,5067,52,201
217,4682,57,715
218,1870,52,766
219,4838,87,15
220,3489,60,233
221,4192,20,413
222,4029,45,654
223,5336,16,196
224,6589,70,44
225,5352,41,772
226,5826,81,444
227,5080,0,665
228,7243,18,415
229,2984,61,34
230,7503,73,923
231,2071,22,532
232,5565,80,999
233,5178,28,841
234,9213,46,537
235,8840,20,433
236,1463,8,157
237,5234,17,882
238,1052,96,394
239,4715,91,702
240,5252,65,356
241,6609,75,317
242,6152,27,117
243,5543,13,818
244,7754,49,633
245,5639,39,161
246,5526,0,494
247,4590,87,903
248,1708,99,211
249,9848,82,38
250,2303,1,148
251,4947,40,253
252,6319,43,52
253,7029,91,816
254,7661,31,188
255,3117,9,903
256,5376,84,806
257,5374,58,70
258,6500,69,758
259,2874,91,611
260,2756,3,361
261,7662,57,635
262,6835,87,750
263,2341,64,13
264,3776,88,884
265,9566,87,596
266,8028,17,214
267,4825,90,421
268,4330,20,571
269,8550,7,139
270,6857,2,106
271,1155,80,546
272,9983,64,760
273,4952,55,123
274,9215,67,692
275,6370,96,637
276,4271,32,485
277,3183,67,732
278,2143,31,866
279,4857,77,907
280,9742,24,562
281,5256,55,400
282,6283,78,981
283,4407,15,132
284,9397,5,842
285,1350,48,550
286,3309,21,324
287,9734,76,393
288,5209,33,723
289,1996,87,678
290,4519,24,136
291,5594,73,501
292,8138,15,5
293,3981,66,645
294,9167,90,841
295,6036,98,866
296,4415,90,418
297,2871,83,819
298,1553,18,73
299,6567,22,279
300,5656,45,832
301,1697,58,347
302,3803,70,720
303,4666,81,47
304,3741,81,92
305,2714,48,890
306,4259,72,560
307,4342,80,333
308,4685,59,559
309,6772,43,11
310,2307,1,634
311,8665,70,78
312,6105,46,701
313,9528,68,89
314,2216,3,857
315,5716,20,807
316,8914,37,556
317,7715,99,574
318,6671,80,157
319,5633,37,472
320,4025,6,978
321,1704,90,67
322,2506,17,667
323,4785,54,240
324,5558,21,171
325,3654,65,192
326,4314,19,995
327,9708,32,10
328,5299,15,98
329,7949,25,509
330,7437,5,43
331,8393,25,704
332,5322,16,445
333,1277,83,217
334,1634,43,475
335,3104,23,510
336,3029,71,198
337,6463,12,115
338,4227,84,224
339,7525,79,738
340,2237,42,847
341,8471,19,798
342,6962,5,285
343,6823,71,610
344,6260,43,406
345,1521,47,282
346,8151,91,967
347,2641,20,53
348,4511,39,251
349,9227,19,584
350,6770,45,768
351,3384,26,869
352,1591,80,549
353,7915,8,597
354,8956,14,39
355,5190,8,892
356,1864,46,787
357,2866,20,442
358,6883,75,693
359,9957,56,679
360,9308,78,442
361,2119,47,250
362,1662,81,347
363,7439,94,320
364,5264,29,251
365,4432,10,429
366,2118,95,523
367,4213,13,247
368,8183,92,415
369,1694,19,253
370,9934,33,557
371,4414,76,147
372,1918,30,750
373,1424,93,94
374,9076,99,524
375,4258,51,5
376,3040,27,172
377,2019,46,506
378,2313,78,336
379,5383,20,109
380,4348,96,389
381,2303,90,477
382,3349,98,220
383,2674,94,784
384,4580,82,667
385,6205,11,516
386,4775,1,771
387,8593,15,681
388,6655,53,958
389,4646,73,301
390,2972,66,95
391,5272,49,879
392,5689,3,691
393,2095,19,283
394,1390,28,42
395,1810,3,215
396,5793,89,336
397,3619,15,168
398,8743,29,305
399,2858,76,650
400,9836,80,872
401,9369,77,808
402,3606,34,958
403,5010,55,785
404,3169,33,538
405,4319,31,706
406,5178,36,806
407,2019,43,80
408,9109,28,287
409,8198,98,409
410,4796,96,819
411,8948,57,144
412,2728,61,307
413,8207,23,955
414,5482,35,26
415,2544,55,265
416,1655,26,124
417,5381,34,121
418,9506,61,215
419,8747,33,527
420,3443,6,658
421,4109,52,408
422,6004,64,880
423,2492,71,699
424,3523,42,414
425,6051,40,431
426,5188,14,552
427,5345,89,636
428,3510,83,358
429,7838,20,585
430,9861,79,405
431,8022,45,887
432,5524,90,487
433,3070,16,940
434,2874,23,732
435,4815,27,500
436,8877,37,428
437,1620,83,643
438,2514,48,732
439,6272,59,659
440,6194,42,295
441,7697,4,528
442,1642,98,641
443,6779,50,486
444,8939,44,54
445,2443,7,925
446,5960,13,378
447,1385,91,135
448,6385,80,664
449,6109,5,364
450,2869,98,325
451,6139,69,813
452,2261,51,40
453,7142,33,140
454,7355,41,641
455,3882,43,3
456,1489,61,665
457,3324,71,638
458,5263,39,364
459,8388,100,761
460,8158,26,915
461,3401,49,873
462,2009,23,159
463,1042,61,741
464,1078,96,902
465,6614,40,394
466,6778,29,711
467,2840,61,140
468,9915,90,741
469,2638,65,879
470,5429,62,653
471,1307,2,413
472,1623,79,68
473,6318,94,214
474,3458,19,553
475,7353,90,159
476,2254,50,781
477,6595,62,792
478,4367,46,451
479,5245,0,68
